Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
BRDT3,"22,98","6,86","2,19","0,328","4,04%","0,945","4,18","15,67","-9,67","18,72","14,24","2,10%","4,79%","1,92","7,50%","31,99%","211.971.000,00","12.207.000.000,00","0,70","-0,06%"
CMIG4,"12,94","6,86","1,12","0,779","4,67%","0,363","3,41","4,22","-0,93","6,37","5,25","18,45%","11,36%","1,60","9,97%","16,39%","131.742.000,00","17.472.700.000,00","0,86","7,76%"
NEOE3,"15,95","6,89","0,91","0,605","3,85%","0,292","6,50","3,48","-0,65","7,32","5,65","17,37%","9,08%","1,25","9,76%","13,27%","32.490.700,00","21.167.000.000,00","1,25","20,48%"
BEES3,"5,07","6,91","0,93","0,000","3,87%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,52%","227.569,00","1.713.900.000,00","0,00","6,85%"
HAGA3,"3,25","6,93","-0,55","1,297","0,00%","0,648","1,82","42,33","-0,48","41,52","14,73","3,06%","18,71%","1,76","3,79%","-7,98%","84.080,30","-69.928.500,00","-0,47","2,04%"
CSRN6,"14,11","6,93","1,78","0,849","13,24%","0,514","6,80","5,04","-1,04","8,20","6,70","16,86%","12,24%","1,52","11,58%","25,73%","7.643,73","1.329.000.000,00","1,28","11,35%"
WIZS3,"8,46","6,95","4,76","1,685","0,00%","1,413","-28,79","3,36","-4,43","2,72","2,39","50,09%","24,85%","0,88","62,24%","68,46%","19.696.800,00","284.421.000,00","0,00","17,68%"
CSRN5,"14,20","6,98","1,80","0,854","13,16%","0,517","6,84","5,07","-1,05","8,24","6,72","16,86%","12,24%","1,52","11,58%","25,73%","9.737,40","1.329.000.000,00","1,28","11,35%"
CSRN3,"14,35","7,05","1,81","0,863","11,83%","0,522","6,91","5,12","-1,06","8,29","6,77","16,86%","12,24%","1,52","11,58%","25,73%","25.626,00","1.329.000.000,00","1,28","11,35%"
CEBR6,"215,00","7,16","4,57","12,146","0,85%","0,808","6,55","37,44","8,05","36,94","33,56","32,44%","182,37%","1,17","2,25%","63,74%","165.457,00","678.769.000,00","0,14","-34,42%"
CEBR5,"215,00","7,16","4,57","12,146","1,83%","0,808","6,55","37,44","8,05","36,94","33,56","32,44%","182,37%","1,17","2,25%","63,74%","121.001,00","678.769.000,00","0,14","-34,42%"
CSMG3,"15,39","7,17","0,91","1,095","18,29%","0,497","9,50","4,48","-1,77","6,76","4,52","24,45%","15,28%","1,44","12,15%","12,65%","40.717.400,00","6.456.610.000,00","0,59","7,66%"
